,Division,District,District Latitude,District Longitude,Venue,Venue Latitude,Venue Longitude,Venue Category
81,Dhaka,Dhaka,23.779814950000002,90.36178191089084,Glazed,23.744624937058504,90.37271823636043,Bakery
82,Dhaka,Dhaka,23.779814950000002,90.36178191089084,"Aarong, Mirpur",23.801005797186342,90.35469104910989,Arts & Crafts Store
83,Dhaka,Dhaka,23.779814950000002,90.36178191089084,Seventh Heaven,23.758298014700184,90.37411129819337,Café
84,Dhaka,Dhaka,23.779814950000002,90.36178191089084,Cafe SoI 3,23.73993968937434,90.37893668461413,Café
85,Dhaka,Dhaka,23.779814950000002,90.36178191089084,Baily Road,23.741914847587996,90.409119553843,Other Great Outdoors
86,Dhaka,Dhaka,23.779814950000002,90.36178191089084,MÕVENPICK,23.741789146492078,90.37429520443612,Ice Cream Shop
87,Dhaka,Dhaka,23.779814950000002,90.36178191089084,Crimson Cup Coffee,23.753006004179834,90.36956598110727,Coffee Shop
88,Dhaka,Dhaka,23.779814950000002,90.36178191089084,Pizza Hut,23.823969577258335,90.36342337538227,Pizza Place
89,Dhaka,Dhaka,23.779814950000002,90.36178191089084,Cilantro,23.746544219261725,90.37085922564027,Café
90,Dhaka,Dhaka,23.779814950000002,90.36178191089084,Shawarma Kebasish House,23.740024202773583,90.39132558585555,BBQ Joint
91,Dhaka,Dhaka,23.779814950000002,90.36178191089084,Shishu Mela,23.77309,90.36791,Theme Park
92,Dhaka,Dhaka,23.779814950000002,90.36178191089084,H2O,23.743516417185706,90.37363314599061,Fast Food Restaurant
93,Dhaka,Dhaka,23.779814950000002,90.36178191089084,Bangabandhu National Stadium,23.72752293570415,90.41356508358827,Soccer Field
94,Dhaka,Dhaka,23.779814950000002,90.36178191089084,Pizza King,23.719945396802835,90.38884031537616,Pizza Place
95,Dhaka,Dhaka,23.779814950000002,90.36178191089084,Apon Coffee House,23.75226033213149,90.4211175441742,Coffee Shop
96,Dhaka,Dhaka,23.779814950000002,90.36178191089084,Hajir Biriani,23.721662906898224,90.40568680682156,Diner
97,Dhaka,Dhaka,23.779814950000002,90.36178191089084,Hakim Chottor,23.733138,90.394595,Park
98,Dhaka,Dhaka,23.779814950000002,90.36178191089084,Doyel Chottor,23.728114937375107,90.40011038114156,Scenic Lookout
99,Dhaka,Dhaka,23.779814950000002,90.36178191089084,"Western Grill, Mirpur",23.801169748172413,90.3576135635376,Fast Food Restaurant
100,Dhaka,Gazipur,24.105045,90.46452649949117,NokkhottroBari Resort,24.094270897266863,90.50545469703295,Recreation Center
101,Dhaka,Gazipur,24.105045,90.46452649949117,Izzatpur Railway Station,24.14434901985407,90.46297362243563,Train Station
102,Dhaka,Gazipur,24.105045,90.46452649949117,Bhawal Resort & Spa,24.155867,90.45131,Resort
103,Dhaka,Gazipur,24.105045,90.46452649949117,Nuhash Palli,24.125263723059,90.39478774788277,Park
104,Dhaka,Gazipur,24.105045,90.46452649949117,BRAC Centre for Development Management,24.097363089827635,90.39111246884768,Resort
105,Dhaka,Gazipur,24.105045,90.46452649949117,Rajendrapur,24.097471,90.391012,Rest Area
106,Dhaka,Gazipur,24.105045,90.46452649949117,Happy Day Inn,24.079241031932614,90.3952845578682,Pool
107,Dhaka,Manikganj,23.871163,89.9987833,Cafe Highway Mini Chinese,23.870893457247274,89.99892426563241,Chinese Restaurant
108,Dhaka,Manikganj,23.871163,89.9987833,Manikganj Bus Station,23.870885423735743,89.99887755575523,Bus Station
109,Dhaka,Manikganj,23.871163,89.9987833,Modhuban,23.86741065979004,89.9775161743164,Flower Shop
110,Dhaka,Munshiganj,23.5483797,90.5349722,Fruit Market,23.547794342041016,90.53569030761719,Market
111,Dhaka,Munshiganj,23.5483797,90.5349722,munshiganj stidiam,23.55327383398854,90.52810619403554,Cricket Ground
112,Dhaka,Munshiganj,23.5483797,90.5349722,Meghna river,23.5034265529846,90.58146591098222,River
113,Dhaka,Munshiganj,23.5483797,90.5349722,Shitalakhma River,23.61533034850178,90.50774279282867,River
114,Dhaka,Narayanganj,23.6238108,90.4999662,Spicy Pizza,23.62346231153454,90.49976732080603,Pizza Place
115,Dhaka,Narayanganj,23.6238108,90.4999662,Narayanganj Railway Station,23.625792786987187,90.50723072767516,Train Station
116,Dhaka,Narayanganj,23.6238108,90.4999662,Buriganga River,23.61720557531081,90.44486824969142,River
117,Dhaka,Narayanganj,23.6238108,90.4999662,Hatimara,23.55799052675865,90.48975988787033,Bus Stop
118,Dhaka,Narayanganj,23.6238108,90.4999662,Munshiganj Launch Terminal,23.559803009033203,90.52922058105469,Boat or Ferry
119,Dhaka,Narayanganj,23.6238108,90.4999662,Sanarpar,23.69450354359266,90.49012878064838,Palace
120,Dhaka,Narsingdi,24.02383345,90.81634842673736,narsingdhi hatchery CPB.,24.034983393948764,90.82429218690402,Farm
121,Dhaka,Narsingdi,24.02383345,90.81634842673736,บ้านพักแรงงาน พลัดถิ่น,24.035465240478516,90.82423400878906,Campground
122,Dhaka,Narsingdi,24.02383345,90.81634842673736,Methikanda Railway Station,23.992282822991413,90.86571444787977,Train Station
123,Dhaka,Narsingdi,24.02383345,90.81634842673736,Baroicha Bus Stand,24.05143737792969,90.87003326416016,Bus Station
124,Dhaka,Narsingdi,24.02383345,90.81634842673736,Bateshwar,24.09516659708122,90.82456187207399,Scenic Lookout
125,Dhaka,Rajbari,23.73983725,89.5704133269708,Belgasi Railway Station,23.780775,89.541806,Platform
126,Dhaka,Rajbari,23.73983725,89.5704133269708,01755174333,23.757680892944336,89.50093841552734,Electronics Store
127,Dhaka,Tangail,24.376400599999997,89.99322157556293,Charan Lake,24.345762252807617,90.01844024658203,Lake
128,Dhaka,Tangail,24.376400599999997,89.99322157556293,Çırağan Cafe,24.395566940307617,90.06507110595703,Plaza
